distribution,semantic_topic,population_count,sample_count,population_prop,sample_prop,abs_prop_diff,year,status_label
year_status_semantic_topic,entertainment_sports_gaming,5458,51,0.002274216888956298,0.00255,0.0002757831110437024,2023.0,Need More Ratings
year_status_semantic_topic,health_science_medicine,18088,164,0.007536833105064403,0.0082,0.0006631668949355976,2023.0,Need More Ratings
year_status_semantic_topic,other_misc,45485,390,0.01895250186774958,0.0195,0.0005474981322504194,2023.0,Need More Ratings
year_status_semantic_topic,platform_media_internet,144042,1224,0.06001882541572793,0.0612,0.0011811745842720683,2023.0,Need More Ratings
year_status_semantic_topic,politics_elections_government,32374,258,0.013489464559009012,0.0129,0.0005894645590090123,2023.0,Need More Ratings
year_status_semantic_topic,social_culture_identity,13818,117,0.005757627147599509,0.00585,9.237285240049076e-05,2023.0,Need More Ratings
year_status_semantic_topic,war_geopolitics_international,33845,255,0.014102394761217643,0.01275,0.0013523947612176443,2023.0,Need More Ratings
year_status_semantic_topic,crime_law_public_safety,359,4,0.0001495866367048939,0.0002,5.041336329510612e-05,2023.0,Not Helpful
year_status_semantic_topic,economy_business_crypto,235,1,9.791882904080799e-05,5e-05,4.7918829040807986e-05,2023.0,Not Helpful
year_status_semantic_topic,entertainment_sports_gaming,230,1,9.583544969951419e-05,5e-05,4.583544969951419e-05,2023.0,Not Helpful
year_status_semantic_topic,health_science_medicine,276,3,0.00011500253963941704,0.00015,3.499746036058295e-05,2023.0,Not Helpful
year_status_semantic_topic,other_misc,4266,33,0.001777539253991859,0.00165,0.0001275392539918591,2023.0,Not Helpful
year_status_semantic_topic,platform_media_internet,3966,36,0.0016525364935142317,0.0018,0.00014746350648576828,2023.0,Not Helpful
year_status_semantic_topic,politics_elections_government,835,8,0.0003479243499960624,0.0004,5.2075650003937616e-05,2023.0,Not Helpful
year_status_semantic_topic,social_culture_identity,573,5,0.000238755272512268,0.00025,1.1244727487732018e-05,2023.0,Not Helpful
year_status_semantic_topic,war_geopolitics_international,1304,9,0.0005433453322094197,0.00045,9.334533220941969e-05,2023.0,Not Helpful
year_status_semantic_topic,crime_law_public_safety,3845,32,0.0016021187134549221,0.0016,2.118713454922049e-06,2024.0,Helpful
year_status_semantic_topic,economy_business_crypto,11701,92,0.00487552433449572,0.0046,0.00027552433449572027,2024.0,Helpful
